Time (s),Acceleration Without HSI (m/s²),Acceleration With HSI (m/s²)
1.46,0.008496495929723949,0.008495395498412037
1.47,0.007881836984456743,0.00788094633992927
1.48,0.007149185528607718,0.007148477606197607
1.49,0.006274283996717413,0.006273708577320212
1.5,0.005187013725389152,0.005186556029419503
1.51,0.003807980290718511,0.0038077005565107214
1.52,0.002109639934531309,0.0021096563844267887
1.53,0.00014936339417046107,0.00014979087837488697
1.54,-0.0019542681698456413,-0.0019533722822535596
1.55,-0.004080202863517835,-0.004078842938285003
1.56,-0.006147912657610888,-0.006146115207147026
1.57,-0.008112859718355195,-0.00811063709108907
1.58,-0.009930008551113718,-0.009927366418200132
1.59,-0.01153046728900549,-0.01152744851772047
1.6,-0.012840174147723368,-0.012836889890148865
1.61,-0.013824648885113774,-0.013821254687633767
1.62,-0.014514755154862481,-0.014511380990362683
1.6300000000000001,-0.014983827813050113,-0.01498051756247459
1.6400000000000001,-0.015291653220525916,-0.015288365293429612
1.6500000000000001,-0.015442183344608456,-0.015438851619154783
1.6600000000000001,-0.015389501083987109,-0.015386103156614896
1.67,-0.015082536474770808,-0.015079113786614817
1.68,-0.014505397719713998,-0.014502021311458425
1.69,-0.013678204935815882,-0.013674933251293642
1.7,-0.012623842214553102,-0.012620721901734572
1.71,-0.011339126548209833,-0.011336239069879534
1.72,-0.009802799111663586,-0.009800302922385306
1.73,-0.008014337695682744,-0.008012451617305233
1.74,-0.006025003104821985,-0.006023928165204433
1.75,-0.003927825035800923,-0.0039276611952862965
1.76,-0.001811447062659948,-0.00181217054647949
1.77,0.00028291908545433606,0.0002814033428421502
1.78,0.002364609771088798,0.0023623902908176354
1.79,0.004456487131697717,0.004453609129906579
1.8,0.006553282657995178,0.00654977307972824
1.81,0.008612118788706942,0.008608031033204368
1.82,0.010578957350717786,0.0105743756435394
1.83,0.01242009494550444,0.012415083161249792
1.84,0.01412501017499233,0.014119553206533339
1.85,0.01567769114776435,0.015671694766021576
1.86,0.017027143521220138,0.01702051038734319
1.87,0.018090896446993944,0.018083625598075796
1.8800000000000001,0.01879465833447314,0.01878689035222648
1.8900000000000001,0.019116313676587646,0.01910828923858079
1.9000000000000001,0.019096777290442252,0.0190887509025364
1.9100000000000001,0.01880920419757331,0.01880138798331375
1.92,0.018314066088785497,0.018306640404377583
1.93,0.017636931711113805,0.017630088762744696
1.94,0.01678088546114836,0.016774839123954534
1.95,0.015751596480470687,0.015746529149875645
1.96,0.014563117550751322,0.014559106091136078
1.97,0.013215411679132053,0.013212407796062132
1.98,0.0116670085029187,0.011664908048519138
1.99,0.009835644097824064,0.009834400827499297
2.0,0.007636317661766007,0.007636014372696084
2.0100000000000002,0.005031966463110808,0.005032791736767656
2.02,0.0020594728991207394,0.002061632464271865
2.0300000000000002,-0.0011853037537663837,-0.001181661508467039
2.04,-0.004585382765664416,-0.004580173685816666
2.05,-0.008029681019835411,-0.008022845781196289
2.06,-0.011412021972616222,-0.011403510070709909
2.07,-0.014616062995768526,-0.014605883170709643
2.08,-0.01751476287770113,-0.017503067137574234
2.09,-0.019997176066791345,-0.019984295320575565
2.1,-0.0220050794172919,-0.021991458298921955
2.11,-0.02354745798929982,-0.02353352086383268
2.12,-0.024677086893241426,-0.0246631279287704
2.13,-0.025445518634662573,-0.025431688338688422
2.14,-0.02587061598082263,-0.025856993560273094
2.15,-0.02593794010712357,-0.025924613416675266
2.16,-0.025626539344206542,-0.025613624272936706
2.17,-0.02493019444889288,-0.024917799841483648
2.18,-0.02385448140380733,-0.023842688203185452
2.19,-0.022397550043465664,-0.022386460480895265
2.2,-0.020540534951336505,-0.0205303705872336
2.21,-0.01826426930133304,-0.01825543188855002
2.22,-0.015581756605094685,-0.015574780344699758
